tD/rD2	pD	pD'	pD/2pD'
38.9045145	2.238302337	0.496797307	2.25273196
39.81071706	2.249742358	0.49686998	2.26391455
40.73802778	2.261184033	0.49694101	2.27510307
41.68693835	2.272627325	0.497010432	2.28629741
42.65795188	2.284072197	0.497078284	2.29749747
43.65158322	2.295518614	0.4971446	2.30870316
44.66835922	2.306966541	0.497209415	2.31991438
45.70881896	2.318415943	0.497272763	2.33113104
46.77351413	2.329866787	0.497334677	2.34235304
47.86300923	2.34131904	0.497395189	2.35358031
48.97788194	2.352772671	0.49745433	2.36481274
50.11872336	2.364227648	0.497512132	2.37605025
51.2861384	2.375683941	0.497568625	2.38729275
52.48074603	2.38714152	0.497623838	2.39854016
53.70317964	2.398600356	0.4976778	2.40979239
54.95408739	2.410060421	0.49773054	2.42104937
56.23413252	2.421521686	0.497782084	2.43231101
57.54399373	2.432984124	0.497832461	2.44357722
58.88436554	2.444447709	0.497881695	2.45484794
60.25595861	2.455912415	0.497929814	2.46612308
61.65950019	2.467378216	0.497976842	2.47740257
63.09573445	2.478845088	0.498022803	2.48868633
64.5654229	2.490313006	0.498067723	2.49997429
66.0693448	2.501781946	0.498111623	2.51126638
67.60829754	2.513251886	0.498154529	2.52256252
69.18309709	2.524722802	0.498196461	2.53386264
70.79457844	2.536194673	0.498237442	2.54516668
72.44359601	2.547667477	0.498277494	2.55647457
74.13102413	2.559141193	0.498316636	2.56778623
75.8577575	2.5706158	0.498354891	2.57910160
77.62471166	2.582091277	0.498392278	2.59042063
79.43282347	2.593567606	0.498428817	2.60174324
81.28305162	2.605044766	0.498464527	2.61306936
83.17637711	2.616522739	0.498499426	2.62439895
85.11380382	2.628001507	0.498533533	2.63573194
87.096359	2.639481051	0.498566866	2.64706826
89.12509381	2.650961354	0.498599442	2.65840786
91.20108394	2.662442398	0.498631279	2.66975069
93.32543008	2.673924167	0.498662393	2.68109667
95.4992586	2.685406645	0.498692801	2.69244577
97.7237221	2.696889814	0.498722519	2.70379792
100	2.70837366	0.498751561	2.71515307
102.3292992	2.719858167	0.498779944	2.72651116
104.7128548	2.731343321	0.498807683	2.73787214
107.1519305	2.742829105	0.498834792	2.74923597
109.6478196	2.754315507	0.498861285	2.76060259
